Group,Task Number,Latency (Edge),Data Transmission Latency (Edge),Throughput (Edge)
12,Task 17,0.003483572006225586,0.29296875,74480.51045521263
12,Task 18,0.003043198585510254,0.29296875,90908.68090323207
12,Task 19,0.003706851005554199,0.1953125,60156.16485631881
12,Task 20,0.0034419727325439454,0.1953125,76570.70616021816
12,Task 21,0.00131683349609375,0.000762939453,287.0616706681742
12,Task 22,0.0015099477767944337,0.0457763672,19716.097492185112
12,Task 23,0.0014656877517700195,0.0915527344,32372.49077996303
12,Task 24,0.0016265439987182618,0.183105469,69727.45534291818
12,Task 25,0.0002128314971923828,0.000762939453,759.3974507531866
13,Task 1,0.001776576042175293,6.7024231,4944905.138562705
13,Task 2,0.05547800064086914,61.1328125,50559661.1684283
13,Task 3,0.04614576816558838,30.5664062,26411427.64168351
13,Task 4,0.026490206718444823,30.5664062,23521393.06174554
13,Task 5,0.025601429939270018,15.3320312,88321492.5330595
13,Task 6,0.0153169584274292,15.3320312,362233.67403034744
13,Task 7,0.01498227596282959,7.71484375,219131.6864357819
13,Task 8,0.009070959091186524,7.71484375,381725.97546998877
13,Task 9,0.009143071174621582,3.90625,199988.82922341907
13,Task 10,0.00619211196899414,3.90625,334270.0200081004
13,Task 11,0.0063263893127441405,1.953125,170868.56538694486
13,Task 12,0.004602322578430176,1.953125,282219.3303117565
13,Task 13,0.0052088403701782224,0.9765625,139996.72271532737
13,Task 14,0.004360313415527344,0.9765625,206714.60826441192
13,Task 15,0.004289140701293945,0.48828125,101163.54975353122
13,Task 16,0.003484930992126465,0.48828125,139060.2221147002
13,Task 17,0.0037424564361572266,0.29296875,73720.82319866933
13,Task 18,0.0032734012603759764,0.29296875,88067.06385659169
13,Task 19,0.003930697441101074,0.1953125,59685.61486518036
13,Task 20,0.0035626220703125,0.1953125,73459.13034673658
13,Task 21,0.0013411617279052734,0.000762939453,267.2041791425113
13,Task 22,0.0015848207473754883,0.0457763672,18329.558531760485
13,Task 23,0.0015169191360473633,0.0915527344,30528.933299527976
13,Task 24,0.0017033004760742187,0.183105469,67366.11272914169
13,Task 25,0.00022753238677978516,0.000762939453,745.6222312292454
14,Task 1,0.0017936944961547852,6.7024231,4897712.525088725
14,Task 2,0.055598278045654294,61.1328125,48998141.27766778
14,Task 3,0.046390867233276366,30.5664062,26147422.682388674
14,Task 4,0.026583824157714844,30.5664062,23272128.865425415
14,Task 5,0.02593857765197754,15.3320312,88195807.45422204
14,Task 6,0.015694923400878906,15.3320312,361450.0431739676
14,Task 7,0.015283117294311524,7.71484375,217973.93761043163
14,Task 8,0.009433951377868652,7.71484375,380381.6915131608
14,Task 9,0.009413847923278809,3.90625,197389.38922156568
14,Task 10,0.006384401321411133,3.90625,326220.133047179
14,Task 11,0.006315774917602539,1.953125,167505.0940656491
14,Task 12,0.004769473075866699,1.953125,271360.31313512695
14,Task 13,0.005552053451538086,0.9765625,135969.90417008783
